,external_id,internal_title,url_x,url_b,url_h,longitude,latitude
0,14684,Carlton President,https://www.expedia.nl/en/Utrecht-Hotels-Carlton-President.h8306.Hotel-Information?chkin=2023-05-01&chkout=2023-05-02&x_pwa=1&rfrr=HSR&pwa_ts=1681742507886&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5ubC9Ib3RlbC1TZWFyY2g%3D&useRewards=false&rm1=a2&regionId=10203&destination=Utrecht%2C+Utrecht%2C+Netherlands&destType=MARKET&selected=8306&latLong=52.090378%2C5.12028&sort=RECOMMENDED&top_dp=125&top_cur=EUR&userIntent=&selectedRoomType=376948&selectedRatePlan=1298120,https://www.booking.com/hotel/nl/carltonpresident.html,https://www.carlton.nl/president-hotel-utrecht?gclid=CjwKCAjw3POhBhBQEiwAqTCuBj0FmB0SS9hgjPI3jySWZg4srXgAEhB-mxINkyoI3F_O0rs3m5szGxoCp04QAvD_BwE,5.03819,52.12079
1,15345,Grand Hotel Ter Duin,https://sheetz.nl/grandhotelterduin/,https://www.booking.com/hotel/nl/grand-ter-duin.html,https://sheetz.nl/grandhotelterduin/,3.72329,51.68352
2,15549,voco® The Hague,https://www.expedia.com/The-Hague-Hotels-Voco-The-Hague.h64147975.Hotel-Information,https://www.booking.com/hotel/nl/voco-the-hague.en-gb.html,https://www.ihg.com/voco/hotels/gb/en/den-haag/hagdh/hoteldetail?cm_mmc=GoogleMaps-_-VX-_-NL-_-HAGDH,4.30873,52.08067
3,15304,Courtyard by Marriott,https://www.expedia.nl/en/Hoofddorp-Hotels-Courtyard-By-Marriott-Amsterdam-Airport.h849306.Hotel-Information?chkin=2023-07-09&chkout=2023-07-10&x_pwa=1&rfrr=HSR&pwa_ts=1682691870639&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5ubC9Ib3RlbC1TZWFyY2g%3D&useRewards=false&rm1=a2&regionId=4429&destination=Hoofddorp%2C+North+Holland%2C+Netherlands&destType=MARKET&selected=849306&latLong=52.306084%2C4.690704&sort=RECOMMENDED&top_dp=123&top_cur=EUR&mdpcid=NL.META.HPA.HOTEL-CORESEARCH-desktop.HOTEL&mdpdtl=HTL.849306.20230709.20230710.DDT.72.CID.17220615967.AUDID.&mctc=10&userIntent=&selectedRoomType=54293&selectedRatePlan=386485664,https://www.booking.com/hotel/nl/courtyardmarriott.html,https://www.marriott.com/nl/default.mi?scid=b4104cb6-ff69-41ec-b5d3-12218845e837&gclid=CjwKCAjw0ZiiBhBKEiwA4PT9z3fGlwIxxFVVH_afCNW_RwxyYj-vbcw2CYSDZBArZLp-iUvJAG1o-BoCSycQAvD_BwE&gclsrc=aw.ds,4.66641,52.32137
4,14733,The Fallon Hotel Alkmaar,https://www.expedia.nl/en/Alkmaar-Hotels-The-Fallon-Hotel-Alkmaar.h45927270.Hotel-Information?chkin=2023-05-08&chkout=2023-05-09&x_pwa=1&rfrr=HSR&pwa_ts=1682328926864&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5ubC9Ib3RlbC1TZWFyY2g%3D&useRewards=false&rm1=a2&regionId=5283&destination=Alkmaar%2C+North+Holland%2C+Netherlands&destType=MARKET&selected=45927270&latLong=52.630472%2C4.749937&sort=RECOMMENDED&top_dp=96&top_cur=EUR&userIntent=&selectedRoomType=231915265&selectedRatePlan=286373231,https://www.booking.com/hotel/nl/the-fallon-alkmaar.en-gb.html,https://sheetz.nl/thefallonalkmaar/?Googlemybusiness,4.72975,52.62583
5,15446,Hotel Zuiderduin,https://www.expedia.nl/en/Egmond-Aan-Zee-Hotels-Hotel-Zuiderduin.h9303170.Hotel-Information,https://www.booking.com/hotel/nl/hotelzuiderduin.en-gb.html,https://www.zuiderduin.nl/nl/?gad=1&gclid=CjwKCAjw0ZiiBhBKEiwA4PT9z4JonoR6BmBlK-gVf0gPClH1bRo2FTxMI3O2rQYYBRhqXSIvQgh3dBoCb4cQAvD_BwE,4.62578,52.61644
6,15018,Resort Bad Boekelo,https://sheetz.nl/resortbadboekelo/?Googlemybusiness,https://www.booking.com/hotel/nl/gtboekelo.en-gb.html,https://sheetz.nl/resortbadboekelo/?Googlemybusiness,6.77963,52.19454
9,15147,Mainport Design Hotel Rotterdam,https://www.expedia.nl/en/Rotterdam-Hotels-Mainport.h5709273.Hotel-Information?chkin=2023-05-09&chkout=2023-05-10&x_pwa=1&rfrr=HSR&pwa_ts=1682410353786&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5ubC9Ib3RlbC1TZWFyY2g%3D&useRewards=false&rm1=a2&regionId=3046&destination=Rotterdam%2C%20South%20Holland%2C%20Netherlands&destType=CURRENT_LOCATION&neighborhoodId=6284484&selected=5709273&latLong=51.91378%2C4.48209&hotelName=ter%20zand&sort=RECOMMENDED&top_dp=660&top_cur=EUR&semdtl=a118926718220.b1147937714750.g1aud-1210701017259%3Akwd-344935186309.l1.e1c.m1CjwKCAjw9J2iBhBPEiwAErwpeWuvyrjnVTr3uls6XiXNsWYYJfsehsG0jESfs_3adSVD9RkanT8chhoCgooQAvD_BwE.r159c945a7311b1bd95a4303fcf2a0e7a4d9b8c126b14c0a492b8bb1eddf194048.c1.j19064890.k1.d1640386598505.h1p.i1.n1.o1.p1.q1.s1.t1.x1.f1.u1.v1.w1&semcid=NL.B.GOOGLE.BD-c-EN.HOTEL&gclid=CjwKCAjw9J2iBhBPEiwAErwpeWuvyrjnVTr3uls6XiXNsWYYJfsehsG0jESfs_3adSVD9RkanT8chhoCgooQAvD_BwE&userIntent=&selectedRoomType=200277936&selectedRatePlan=201639800,https://www.booking.com/hotel/nl/mainport-hotel.en-gb.html,https://www.mainporthotel.com/?utm_source=GMB&utm_medium=organic,4.48254,51.91329
10,15092,Landgoed Duin & Kruidberg,https://www.expedia.nl/en/Santpoort-Noord-Hotels-Landgoed-Duin-Kruidberg.h1050381.Hotel-Information?chkin=2023-05-09&chkout=2023-05-10&x_pwa=1&rfrr=HSR&pwa_ts=1682410374757&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5ubC9Ib3RlbC1TZWFyY2g%3D&useRewards=false&rm1=a2&regionId=6034509&destination=Santpoort-Noord%2C%20North%20Holland%2C%20Netherlands&destType=CURRENT_LOCATION&selected=1050381&latLong=52.434755%2C4.626209&hotelName=ter%20zand&sort=RECOMMENDED&top_dp=245&top_cur=EUR&semdtl=a118926718220.b1147937714750.g1aud-1210701017259%3Akwd-344935186309.l1.e1c.m1CjwKCAjw9J2iBhBPEiwAErwpeWuvyrjnVTr3uls6XiXNsWYYJfsehsG0jESfs_3adSVD9RkanT8chhoCgooQAvD_BwE.r159c945a7311b1bd95a4303fcf2a0e7a4d9b8c126b14c0a492b8bb1eddf194048.c1.j19064890.k1.d1640386598505.h1p.i1.n1.o1.p1.q1.s1.t1.x1.f1.u1.v1.w1&semcid=NL.B.GOOGLE.BD-c-EN.HOTEL&gclid=CjwKCAjw9J2iBhBPEiwAErwpeWuvyrjnVTr3uls6XiXNsWYYJfsehsG0jESfs_3adSVD9RkanT8chhoCgooQAvD_BwE&userIntent=&selectedRoomType=200427775&selectedRatePlan=382331295,https://www.booking.com/hotel/nl/duinkruidberg.en-gb.html,https://www.duin-kruidberg.nl/?gclid=CjwKCAjw9J2iBhBPEiwAErwpeSOaPLWUFcHS98FDnY8W21tVY9xPVQTohhlAi49gPtIgl1-MqmQrxBoCkuYQAvD_BwE,4.59054,52.43727
11,14535,Carlton Square,https://www.expedia.nl/en/Haarlem-Hotels-Carlton-Square-Hotel.h8237.Hotel-Information?chkin=2023-05-09&chkout=2023-05-10&x_pwa=1&rfrr=HSR&pwa_ts=1682410528195&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5ubC9Ib3RlbC1TZWFyY2g%3D&useRewards=false&rm1=a2&regionId=5311&destination=Haarlem%2C+North+Holland%2C+Netherlands&destType=CURRENT_LOCATION&selected=8237&latLong=52.37434%2C4.63175&sort=RECOMMENDED&top_dp=159&top_cur=EUR&userIntent=&selectedRoomType=211507521&selectedRatePlan=230165278,https://www.booking.com/hotel/nl/carltonsquare.en-gb.html,https://www.carlton.nl/square-hotel-haarlem,4.63159,52.37442
